algorithm,seed,position_rmse,best_hypothesis_rmse,mean_truth_consistent_flock_weight,agent_position_rmse,mean_nees,coverage95_rate,mean_nis,information_gain,spatial_diversity,estimate_disagreement,recovery_steps,messages,bytes_sent,mean_momentum,mean_momentum_change_score,mean_momentum_corroborating_agents,mean_momentum_biased_agents,momentum_fallback_rate,momentum_change_events,mean_hypothesis_flocks,multiflock_rate,mean_primary_flock_size,mean_primary_flock_weight,mean_alternative_flock_weight,mean_quarantined_agents,quarantine_rate,mean_suspected_bias_agents,mean_bias_estimate_norm,runtime_seconds,scenario,nees_calibration_error,coverage_calibration_error
flocking_robust_multiflock,21,0.6097295946333181,0.6097295946333181,1.0,0.6406009526965538,1.581542665098336,0.9828125,1.6589808506173747,3.7388415568155744,4.7249421808812535,0.34631928665698897,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,7.93125,1.0,0.0,0.00625,0.00625,0.06875,0.2917559794936288,1.17689916677773,no_change,0.41845733490166404,0.03281250000000002
flocking_robust_multiflock,22,0.6613656742075533,0.6613656742075533,1.0,0.680374139046174,1.7367999576801885,0.9748883928571429,1.745504297282692,3.719129033776663,4.729773416566501,0.38459290942256624,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,7.925,1.0,0.0,0.0,0.0,0.075,0.2918086727890568,1.1649045830126852,no_change,0.26320004231981153,0.02488839285714295
flocking_robust_multiflock,23,0.6562709327201229,0.6562709327201229,1.0,0.6542845456163345,1.6367774680023917,0.978125,1.6195281302512299,3.72671618717891,4.735470863538092,0.36392226256675286,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,7.95,1.0,0.0,0.0,0.0,0.05,0.27926791128142403,1.1637192498892546,no_change,0.36322253199760834,0.028125000000000067
flocking_robust_multiflock,24,0.6838206641623781,0.6823056988043333,0.99609375,0.6829796632492307,1.8231933347842109,0.9533482142857143,1.6387011460618246,3.739639686592716,4.782548215296258,0.3414214202854651,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.00625,0.00625,7.95625,0.99765625,0.00234375,0.0,0.0,0.025,0.31275057856106375,1.2231389170046896,no_change,0.17680666521578914,0.0033482142857143016
flocking_robust_multiflock,25,0.6689066458342204,0.6689066458342204,1.0,0.6941986568850684,1.8423100102383745,0.9620535714285715,1.778247878914063,3.7216820605661853,4.672684905814558,0.37525917567576583,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,7.8375,1.0,0.0,0.0,0.0,0.1625,0.3173661431114865,1.1632264170330018,no_change,0.15768998976162552,0.012053571428571552
flocking_robust_multiflock,26,0.6475380727449889,0.6475380727449889,1.0,0.6571381198624956,1.5677503123858163,0.98515625,1.550305351151026,3.706758743173667,4.747121649127165,0.4460354037418785,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,7.90625,1.0,0.0,0.0,0.0,0.09375,0.29784800101817144,1.166672500083223,no_change,0.4322496876141837,0.03515625
flocking_robust_multiflock,27,0.6001992730477433,0.6001992730477433,1.0,0.6163801511902789,1.4419283554682678,0.98203125,1.6107970166976422,3.730813861431635,4.745851978000198,0.34099538493255255,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,7.98125,1.0,0.0,0.0,0.0,0.01875,0.29502947622631437,1.1931940410286188,no_change,0.5580716445317322,0.03203125000000007
flocking_robust_multiflock,28,0.6148611091229894,0.6148611091229894,1.0,0.6302965175659525,1.5024629210955553,0.9880580357142857,1.6359204163029983,3.7266714146911086,4.703763806981435,0.38424754510756853,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,7.8875,1.0,0.0,0.0,0.0,0.1125,0.2827491172565663,1.2135657500475645,no_change,0.49753707890444465,0.03805803571428579
flocking_robust_multiflock,29,0.6063534787328724,0.6063534787328724,1.0,0.6360263982127162,1.5203090789821592,0.9728794642857143,1.687953311472652,3.7224354629570504,4.716277698942086,0.38310417724069373,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,7.90625,1.0,0.0,0.0,0.0,0.09375,0.29459731441046727,1.1870909999124706,no_change,0.47969092101784083,0.0228794642857143
flocking_fixed_momentum,0,0.7139743199533487,0.7139743199533487,1.0,0.6945825243106893,1.7801564049468195,0.94609375,1.7493546042756658,3.6774902594697694,4.791272285424891,0.3813776327089574,3,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9511906248517334,abrupt_change,0.21984359505318052,0.00390625
flocking_fixed_momentum,1,0.6843111875980521,0.6843111875980521,1.0,0.6838858775720806,1.7490986461753546,0.9484375,1.801088765008616,3.7032882165929886,4.77121842232031,0.3834508264131752,1,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9575940407812595,abrupt_change,0.2509013538246454,0.0015624999999999112
flocking_fixed_momentum,2,0.6830511078262513,0.6830511078262513,1.0,0.6867063007048588,1.7525623849638539,0.965625,1.756103147880627,3.702894227997814,4.806308554439307,0.36725177848444085,0,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.971491624834016,abrupt_change,0.24743761503614614,0.015625
flocking_fixed_momentum,3,0.6473100904618762,0.6473100904618762,1.0,0.6935469822290874,1.7709333177657498,0.9796875,1.8409583867228094,3.689748088926001,4.77166702298908,0.48182671252039694,0,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9756115418858826,abrupt_change,0.2290666822342502,0.02968750000000009
